Date,SPXT,LUATTRUU,LF98TRUU,BCOMTR,MXEF,BCIT1T,DXY,VIX,NEIXCTAT,M1WOSC,M1WO000V,M1WOMOM,M1WOQU,M1WOMVOL,USGG3M,DBFXCARU,LUACOAS
1971-03-31,0.03679586563307491,0.04781833333333336,0.04781833333333336,-0.008767262131002096,0.04191435768261953,-0.2999999999999998,-0.0007483785132214038,0.3859443400637699,-0.01952553560116563,0.03679586563307491,0.03679586563307491,0.03679586563307491,0.03679586563307491,0.025757105943152434,0.2400000000000002,0.014072093023255806,-0.05999999999999961
1971-04-30,0.03628750872295883,-0.03388999999999998,-0.03388999999999998,-0.0073877144098776215,0.030751378009863606,-0.5,0.00016643088957302155,0.3261608030245955,0.020638857204938802,0.03628750872295883,0.03628750872295883,0.03628750872295883,0.03628750872295883,0.025401256106071177,0.29000000000000004,0.014161252616887648,-0.0500000000000016
1971-05-31,-0.04155844155844168,-0.015931666666666653,-0.015931666666666653,0.033814061292814834,-0.025612158739093727,0.20000000000000018,-0.006323321407770921,0.08149445485342133,-0.00894119731307409,-0.04155844155844168,-0.04155844155844168,-0.04155844155844168,-0.04155844155844168,-0.029090909090909178,0.4099999999999997,-0.008850865800865838,-0.11000000000000032
1971-06-30,0.0007025996185887617,-0.01708166666666669,-0.01708166666666669,0.0220960067757765,0.008184093972655404,0.1999999999999993,-0.0022607385079126407,-0.18580898247268718,-0.0025071700545549053,0.0007025996185887617,0.0007025996185887617,0.0007025996185887617,0.0007025996185887617,0.0004918197330121332,0.8799999999999999,0.004560779885576629,0.02000000000000135
1971-07-31,-0.041323971915747326,-0.004915000000000025,-0.004915000000000025,0.003972702900316927,-0.017858848247540693,-0.1999999999999993,-0.0033568311513929583,-0.14913078198706886,0.00047114854984154925,-0.041323971915747326,-0.041323971915747326,-0.041323971915747326,-0.041323971915747326,-0.028926780341023126,0.08999999999999986,-0.007972191574724199,0.009999999999999787
1971-08-31,0.0360954174513497,0.04561000000000002,0.04561000000000002,-0.01993057072803628,0.019836639439906545,0.1999999999999993,-0.019282586729538642,-0.2175778521069035,-0.01283971463598187,0.0360954174513497,0.0360954174513497,0.0360954174513497,0.0360954174513497,0.025266792215944786,-0.8699999999999992,0.014528625235404909,0.04999999999999982
1971-09-30,-0.006967585580127222,0.024835000000000017,0.024835000000000017,-0.013053601505994328,-0.011441647597253857,-0.5,-0.013222289001459497,0.2354767389892254,-0.0058906992470028445,-0.006967585580127222,-0.006967585580127222,-0.006967585580127222,-0.006967585580127222,-0.004877309906089055,0.15999999999999925,0.0017430576592951663,-0.020000000000000462
1971-10-31,-0.04179377669310558,0.014101666666666658,0.014101666666666658,0.03706864098381235,-0.03993055555555558,-0.2999999999999998,-0.0024362655529452937,0.04634217363466164,-0.025585153825239505,-0.04179377669310558,-0.04179377669310558,-0.04179377669310558,-0.04179377669310558,-0.0292556436851739,-0.29000000000000004,-0.008946466341265006,-0.05999999999999872
1971-11-30,-0.002546959567017004,0.0006933333333332984,0.0006933333333332984,0.0004598034945064722,0.006429576049829189,-0.5,-0.005582206716092442,-0.02425490501750449,-0.0005765684139198853,-0.002546959567017004,-0.002546959567017004,-0.002546959567017004,-0.002546959567017004,-0.0017828716969119029,0.03000000000000025,0.002852578796561565,0.03000000000000025
1971-12-31,0.08617938078519005,0.0077433333333333364,0.0077433333333333364,0.06482668537287428,0.08794170493112374,0.0,-0.02455924918866781,0.025180195893879098,-0.03628500935310381,0.08617938078519005,0.08617938078519005,0.08617938078519005,0.08617938078519005,0.06032556654963303,-0.6599999999999997,0.02892048090222368,0.009999999999999787
